"State","County","Worst.Crime.Display","Crime.Category","Year.of.Crime","Year.of.1st.Conviction"
"Illinois","Cook","Murder","Misconduct",1994,1998
"Illinois","Cook","Murder","Misconduct",1986,1988
"Illinois","Peoria","Murder","Misconduct",1977,1977
"Michigan","Hillsdale","Sexual Assault","Misconduct",1991,1992
"Illinois","Cook","Drug Possession or Sale","Misdemeanor",2004,2005
"Arkansas","Sebastian","Child Sex Abuse","Misconduct",2008,2010
"Pennsylvania","Bucks","Attempted Murder","Misconduct",2003,2003
"Massachusetts","Hampden","Murder","Misconduct",1986,1987
"Fed-FL","(Southern)","Fraud","Nonviolent felony",1985,1995
"Wisconsin","Racine","Sexual Assault","Misconduct",1995,1995
"Fed-TN","(Eastern)","Fraud","Nonviolent felony",1982,1992
"Washington","King","Sexual Assault","Misconduct",1998,1998
"Kentucky","Kenton","Child Sex Abuse","Misconduct",2016,2018
"California","Contra Costa","Weapon Possession or Sale","Misdemeanor",2014,2015
"New York","Suffolk","Robbery","Misconduct",1999,1999
"Hawaii","Hawaii","Murder","Misconduct",1991,2000
"Hawaii","Hawaii","Manslaughter","Misconduct",1991,2000
"Oklahoma","Pontotoc","Sexual Assault","Misconduct",1982,1983
"Illinois","Cook","Drug Possession or Sale","Misdemeanor",2006,2006
"Texas","Dallas","Murder","Misconduct",1997,1997
"New York","Queens","Robbery","Misconduct",1996,1997
"Michigan","Wayne","Murder","Misconduct",1999,2000
"Oklahoma","Tulsa","Murder","Misconduct",1994,1995
"Texas","Travis","Murder","Misconduct",1991,2002
"Texas","Harris","Drug Possession or Sale","Misdemeanor",2017,2017
"Georgia","Chatham","Sexual Assault","Misconduct",1986,1987
"Arkansas","Pulaski","Murder","Misconduct",1981,1983
"Virginia","Fairfax","Sexual Assault","Misconduct",1975,1976
"New York","Nassau","Murder","Misconduct",2000,2002
"Indiana","Marion","Sexual Assault","Misconduct",1986,1986
"Alabama","Jefferson","Murder","Misconduct",2012,2014
"Michigan","Wayne","Murder","Misconduct",2004,2005
"Illinois","Cook","Other Nonviolent Felony","Nonviolent felony",2008,2009
"Alaska","Sitka","Assault","Misconduct",2013,2014
"Ohio","Cuyahoga","Assault","Misconduct",1987,1987
"California","Kern","Child Sex Abuse","Misconduct",1984,1985
"Connecticut","Fairfield","Child Sex Abuse","Misconduct",2001,2001
"California","Santa Clara","Traffic Offense","Nonviolent felony",1995,1995
"Illinois","Cook","Murder","Misconduct",1993,1994
"Pennsylvania","Philadelphia","Murder","Misconduct",1987,1988
"New York","Richmond","Other Nonviolent Misdemeanor","Misdemeanor",2018,2018
"Fed-NY","(Southern)","Weapon Possession or Sale","Misdemeanor",2015,2016
"Texas","Hale","Drug Possession or Sale","Misdemeanor",1999,1999
"New York","New York","Weapon Possession or Sale","Misdemeanor",2008,2008
"Illinois","McLean","Manslaughter","Misconduct",2013,2014
"New York","Kings","Murder","Misconduct",1988,1989
"Louisiana","Orleans","Murder","Misconduct",2004,2011
"Illinois","Cook","Drug Possession or Sale","Misdemeanor",2004,2005
"Illinois","Cook","Murder","Misconduct",1991,1994
"North Carolina","Pitt","Murder","Misconduct",1994,1995
"Massachusetts","Suffolk","Assault","Misconduct",1996,1997
"Illinois","Cook","Robbery","Misconduct",2012,2012
"New Jersey","Camden","Drug Possession or Sale","Misdemeanor",2008,2008
"North Carolina","Mecklenburg","Other Violent Felony","Misconduct",2015,2016
"Utah","Cache","Child Sex Abuse","Misconduct",1986,1987
"Nebraska","Gage","Accessory to Murder","Misconduct",1985,1989
"Texas","Swisher","Drug Possession or Sale","Misdemeanor",1998,2000
"North Carolina","Buncombe","Forgery","Misdemeanor",2010,2012
"Texas","Dallas","Sex Offender Registration","Nonviolent felony",2000,2001
"Texas","McLennan","Sexual Assault","Misconduct",1992,1994
"Illinois","Cook","Drug Possession or Sale","Misdemeanor",2007,2007
"Illinois","Cook","Drug Possession or Sale","Misdemeanor",2006,2006
"Illinois","Cook","Drug Possession or Sale","Misdemeanor",2008,2008
"Illinois","Cook","Drug Possession or Sale","Misdemeanor",2004,2004
"North Carolina","New Hanover","Other Violent Felony","Misconduct",1971,1972
"New Jersey","Essex","Sexual Assault","Misconduct",1983,1984
"New York","Kings","Murder","Misconduct",1987,1988
"Fed-NY","(Southern)","Fraud","Nonviolent felony",1986,1989
"Texas","Hunt","Sex Offender Registration","Nonviolent felony",2015,2016
"Texas","Dallas","Sex Offender Registration","Nonviolent felony",2014,2014
"Maryland","Baltimore City","Murder","Misconduct",1991,1992
"Wisconsin","Dane","Sexual Assault","Misconduct",2002,2003
"Colorado","Broomfield","Assault","Misconduct",2001,2001
"California","Los Angeles","Murder","Misconduct",1980,1982
"Michigan","Wayne","Robbery","Misconduct",1993,1994
"North Carolina","Onslow","Threats","Violent felony",1987,1988
"California","Santa Clara","Sexual Assault","Misconduct",1988,1989
"Washington","Franklin","Assault","Misconduct",2006,2009
"Pennsylvania","Cambria","Murder","Misconduct",1991,1992
"Illinois","Cook","Murder","Misconduct",1995,1997
"Texas","Lamb","Murder","Misconduct",1996,1998
"Michigan","Wayne","Murder","Misconduct",1984,1984
"Ohio","Cuyahoga","Murder","Misconduct",1997,1998
"Wisconsin","Milwaukee","Manslaughter","Misconduct",2013,2014
"Massachusetts","Plymouth","Murder","Misconduct",2003,2006
"Washington","King ","Murder","Misconduct",1995,1996
"California","Los Angeles","Murder","Misconduct",1995,1998
"Maryland","Baltimore City","Murder","Misconduct",1994,1995
"Oklahoma","Oklahoma","Murder","Misconduct",1974,1975
"Pennsylvania","Philadelphia","Murder","Misconduct",2009,2012
"Washington","King","Drug Possession or Sale","Misdemeanor",2006,2007
"Texas","Dallas","Murder","Misconduct",1997,1997
"New Jersey","Passaic","Murder","Misconduct",1977,1977
"Texas","Harris","Drug Possession or Sale","Misdemeanor",2016,2016
"Louisiana","Avoyelles","Child Sex Abuse","Misconduct",1977,1977
"Illinois","Cook","Murder","Misconduct",1982,1999
"Illinois","Cook","Drug Possession or Sale","Misdemeanor",2009,2010
"California","Los Angeles","Robbery","Misconduct",1991,1992
"Indiana","Elkhart","Attempted Murder","Misconduct",1993,1994
"Illinois","Cook","Drug Possession or Sale","Misdemeanor",2002,2004
"Alaska","Petersburg","Sexual Assault","Misconduct",1994,1995
"Fed-TX","(Southern)","Assault","Misconduct",2000,2001
"Connecticut","Fairfield","Murder","Misconduct",1975,2002
"Texas","Dallas","Weapon Possession or Sale","Misdemeanor",2011,2012
"North Carolina","Moore","Child Sex Abuse","Misconduct",1988,1989
"Florida","Orange","Assault","Misconduct",1998,1999
"Illinois","Cook","Drug Possession or Sale","Misdemeanor",2011,2011
"North Carolina","Bladen","Murder","Misconduct",1976,1978
"South Dakota","Brown","Child Sex Abuse","Misconduct",2012,2014
"North Carolina","New Hanover","Murder","Misconduct",1988,1989
"Massachusetts","Hampden","Weapon Possession or Sale","Misdemeanor",2009,2009
"Illinois","Macon","Threats","Violent felony",2015,2016
"Illinois","Cook","Murder","Misconduct",1983,1984
"Texas","Dallas","Sexual Assault","Misconduct",1986,1987
"Texas","Harris","Drug Possession or Sale","Misdemeanor",2009,2009
"Indiana","Allen","Murder","Misconduct",1982,1983
"Indiana","Henry","Murder","Misconduct",1991,1991
"Missouri","Barton","Robbery","Misconduct",2006,2008
"California","San Mateo","Assault","Misconduct",2013,2014
"Maryland","Baltimore City","Murder","Misconduct",2008,2010
"Texas","Swisher","Drug Possession or Sale","Misdemeanor",1998,2000
"Texas","Harris","Drug Possession or Sale","Misdemeanor",2013,2014
"Fed-Military",NA,"Drug Possession or Sale","Misdemeanor",2011,2012
"Michigan","Genesee","Murder","Misconduct",2005,2011
"Florida","Broward","Murder","Misconduct",1985,1986
"Texas","Harris","Drug Possession or Sale","Misdemeanor",2014,2014
"Pennsylvania","Dauphin","Murder","Misconduct",1979,1986
"California","Los Angeles","Murder","Misconduct",1993,1994
"Missouri","Jackson","Murder","Misconduct",1983,1987
"New York","Oneida","Murder","Misconduct",2000,2002
"New York","Kings","Drug Possession or Sale","Misdemeanor",1987,1989
"Michigan","Wayne","Murder","Misconduct",1994,1994
"New Jersey","Hudson","Robbery","Misconduct",2009,2010
"Louisiana","Orleans","Murder","Misconduct",2007,2010
"Illinois","McHenry","Murder","Misconduct",2001,2003
"Texas","Dallas","Robbery","Misconduct",1994,1995
"California","Los Angeles","Murder","Misconduct",1992,1994
"Ohio","Lorain","Child Sex Abuse","Misconduct",1993,1994
"California","Orange","Attempt, Violent","Misconduct",2009,2010
"Ohio","Fairfield","Kidnapping","Misconduct",2000,2000
"Michigan","Berrien","Drug Possession or Sale","Misdemeanor",2006,2007
"Illinois","Cook","Murder","Misconduct",1987,1990
"Florida","Manatee","Drug Possession or Sale","Misdemeanor",1997,1998
"Illinois","Cook","Murder","Misconduct",1985,1986
"North Carolina","Brunswick","Child Sex Abuse","Misconduct",1984,1984
"Iowa","Humboldt","Child Abuse","Misconduct",2006,2007
"Illinois","Cook","Drug Possession or Sale","Misdemeanor",2004,2004
"Kentucky","Kenton","Child Sex Abuse","Misconduct",1990,2001
"Illinois","Cook","Drug Possession or Sale","Misdemeanor",2007,2007
"Illinois","Cook","Murder","Misconduct",2015,2020
"Ohio","Franklin","Sexual Assault","Misconduct",1985,1986
"New Mexico","Bernalillo","Murder","Misconduct",1977,1978
"Texas","Swisher","Drug Possession or Sale","Misdemeanor",1998,2000
"Maryland","Baltimore City","Weapon Possession or Sale","Misdemeanor",2018,2018
"Alabama","Jefferson","Child Sex Abuse","Misconduct",2005,2006
"New York","New York","Murder","Misconduct",1987,1987
"New York","Westchester","Drug Possession or Sale","Misdemeanor",2011,2013
"North Carolina","Lee","Robbery","Misconduct",1998,1998
"Florida","Miami-Dade","Child Sex Abuse","Misconduct",1984,1986
"Virginia","Arlington","Sexual Assault","Misconduct",1985,1986
"Illinois","Cook","Murder","Misconduct",1998,2000
"California","Los Angeles","Murder","Misconduct",1998,2000
"California","San Diego","Murder","Misconduct",2002,2007
"Texas","Harris","Kidnapping","Misconduct",1985,1986
"Illinois","Cook","Murder","Misconduct",1995,1998
"Washington","Clark","Child Sex Abuse","Misconduct",1995,1995
"Oregon","Multnomah","Murder","Misconduct",1990,1991
"California","Los Angeles","Murder","Misconduct",2003,2007
"Illinois","Cook","Murder","Misconduct",1981,1982
"District of Columbia",NA,"Murder","Misconduct",1974,1975
"Michigan","Newaygo","Murder","Misconduct",1979,1992
"Fed-AZ",NA,"Assault","Misconduct",1988,1990
"Fed-AZ",NA,"Assault","Misconduct",1988,1990
"Pennsylvania","Philadelphia","Murder","Misconduct",2006,2008
"Illinois","Winnebago","Murder","Misconduct",2017,2018
"New Jersey","Mercer","Weapon Possession or Sale","Misdemeanor",2012,2014
"Pennsylvania","Philadelphia","Murder","Misconduct",2010,2013
"Washington","Clark","Child Sex Abuse","Misconduct",1985,1985
"Fed-DC",NA,"Bribery","Nonviolent felony",2010,2011
"Texas","Harris","Drug Possession or Sale","Misdemeanor",2012,2013
"Texas","Travis","Murder","Misconduct",1991,2001
"Massachusetts","Suffolk","Murder","Misconduct",1999,2002
"New York","New York","Drug Possession or Sale","Misdemeanor",2014,2014
"Tennessee","Sumner","Murder","Misconduct",1989,1990
"Wisconsin","Ashland","Sexual Assault","Misconduct",1998,1999
"Missouri","Jefferson","Murder","Misconduct",1989,1991
"Connecticut","Windham","Child Sex Abuse","Misconduct",1990,1991
"Illinois","Lake","Sexual Assault","Misconduct",1986,1986
"Pennsylvania","Philadelphia","Murder","Misconduct",1984,1986
"Washington","Spokane","Robbery","Misconduct",2008,2009
"Nevada","Clark","Murder","Misconduct",1992,1995
"Illinois","Edgar","Murder","Misconduct",1986,1987
"New York","Monroe","Murder","Misconduct",1988,1992
"Oregon","Lane","Child Sex Abuse","Misconduct",1990,1990
"Michigan","Saginaw","Child Abuse","Misconduct",2015,2016
"Virginia","Lancaster","Murder","Misconduct",1985,1986
"Fed-NJ",NA,"Sexual Assault","Misconduct",1989,1990
"Fed-DC",NA,"Official Misconduct","Nonviolent felony",2007,2008
"Texas","Waller","Burglary/Unlawful Entry","Misdemeanor",2017,2019
"Texas","Harris","Drug Possession or Sale","Misdemeanor",2014,2014
"New York","Queens","Robbery","Misconduct",1993,1995
"Colorado","Boulder","Menacing","Violent felony",2014,2015
"Utah","Salt Lake","Murder","Misconduct",1984,1984
"Pennsylvania","Philadelphia","Murder","Misconduct",2006,2007
"Texas","Dallas","Murder","Misconduct",1987,1988
"New Jersey","Camden","Drug Possession or Sale","Misdemeanor",2008,2009
"Maryland","Baltimore City","Murder","Misconduct",1983,1984
"Louisiana","Orleans","Murder","Misconduct",2005,2009
"Fed-Military",NA,"Sexual Assault","Misconduct",2009,2009
"Florida","Broward","Murder","Misconduct",1983,1985
"Missouri","Greene","Murder","Misconduct",2006,2008
"Texas","Harris","Drug Possession or Sale","Misdemeanor",2014,2014
"Georgia","Fulton","Murder","Misconduct",2002,2004
"California","Contra Costa","Other Nonviolent Misdemeanor","Misdemeanor",2013,2013
"Wisconsin","Milwaukee","Murder","Misconduct",1984,1985
"Illinois","Cook","Drug Possession or Sale","Misdemeanor",2006,2006
"Illinois","Cook","Drug Possession or Sale","Misdemeanor",2006,2006
"Pennsylvania","Philadelphia","Murder","Misconduct",1980,1984
"California","Kern","Child Sex Abuse","Misconduct",1984,1985
"Pennsylvania","Allegheny","Murder","Misconduct",1983,1983
"Connecticut","New Haven","Murder","Misconduct",1990,1993
"Fed-MO","(Western)","Murder","Misconduct",1998,2006
"Missouri","Jackson","Murder","Misconduct",1978,1979
"Washington","Clark","Robbery","Misconduct",2003,2004
"Texas","Swisher","Drug Possession or Sale","Misdemeanor",1999,2000
"Illinois","Lake","Murder","Misconduct",1999,2000
"Missouri","St. Louis","Child Sex Abuse","Misconduct",1995,1997
"Mississippi","Lincoln","Assault","Misconduct",2000,2001
"New York","Kings","Murder","Misconduct",1985,1986
"Wisconsin","Walworth","Burglary/Unlawful Entry","Misdemeanor",1996,1997
"Texas","Harris","Robbery","Misconduct",1998,1999
"Illinois","Cook","Murder","Misconduct",1995,1998
"New York","Queens","Attempted Murder","Misconduct",1991,1992
"California","Los Angeles","Drug Possession or Sale","Misdemeanor",1997,1997
"Arizona","Cochise","Assault","Misconduct",1996,1997
"Fed-Military",NA,"Sexual Assault","Misconduct",2015,2016
"Massachusetts","Bristol","Murder","Misconduct",1984,1986
"Massachusetts","Middlesex","Murder","Misconduct",1986,1987
"North Carolina","Wake","Robbery","Misconduct",2013,2014
"Ohio","Fayette","Burglary/Unlawful Entry","Misdemeanor",1992,1992
"Minnesota","Ramsey","Sexual Assault","Misconduct",1985,1985
"Texas","Harris","Sexual Assault","Misconduct",1998,1999
"Ohio","Cuyahoga","Attempted Murder","Misconduct",2006,2007
"Michigan","Calhoun","Child Sex Abuse","Misconduct",1996,2002
"Pennsylvania","Philadelphia","Murder","Misconduct",1988,1989
"Ohio","Ashtabula","Drug Possession or Sale","Misdemeanor",2009,2010
"Georgia","Cobb","Sex Offender Registration","Nonviolent felony",2008,2011
"Texas","Harris","Drug Possession or Sale","Misdemeanor",2009,2009
"New York","Jefferson","Murder","Misconduct",2017,2018
"Kansas","Sedgwick","Attempted Murder","Misconduct",1999,2000
"Pennsylvania","Erie","Child Sex Abuse","Misconduct",2007,2009
"Illinois","Cook","Murder","Misconduct",1994,1998
"Michigan","Wayne","Sexual Assault","Misconduct",1982,1982
"Connecticut","Hartford","Murder","Misconduct",1991,2001
"Arkansas","Washington","Child Sex Abuse","Misconduct",2014,2016
"California","Kern","Other Nonviolent Felony","Nonviolent felony",2015,2016
"Texas","Harris","Murder","Misconduct",1998,1999
"Texas","Harris","Drug Possession or Sale","Misdemeanor",2009,2009
"Oklahoma","Oklahoma","Murder","Misconduct",1991,1992
"Virginia","Henrico","Sexual Assault","Misconduct",1990,1991
"Georgia","Troup","Sexual Assault","Misconduct",1981,1981
"Massachusetts","Suffolk","Murder","Misconduct",1965,1968
"New York","Suffolk","Murder","Misconduct",1988,1990
"Michigan","Calhoun","Murder","Misconduct",1995,2000
"California","Los Angeles","Drug Possession or Sale","Misdemeanor",1998,1998
"Idaho","Bonneville","Murder","Misconduct",1996,1998
"Texas","Harris","Drug Possession or Sale","Misdemeanor",2006,2006
"Tennessee","Hamilton","Assault","Misconduct",2012,2012
"Florida","Martin","Drug Possession or Sale","Misdemeanor",2018,2018
"Washington","Grays Harbor","Sex Offender Registration","Nonviolent felony",2009,2010
"Nebraska","Gage","Murder","Misconduct",1985,1989
"California","Los Angeles","Attempted Murder","Misconduct",1989,1990
"Florida","Miami-Dade","Child Sex Abuse","Misconduct",1990,1991
"Illinois","Cook","Murder","Misconduct",1992,1995
"New York","Bronx","Murder","Misconduct",1987,1989
"Florida","Duval","Child Sex Abuse","Misconduct",1986,1986
"North Carolina","Wake","Murder","Misconduct",1991,1993
"Michigan","Wayne","Weapon Possession or Sale","Misdemeanor",2017,2018
"Illinois","Cook","Murder","Misconduct",1996,1998
"Illinois","Cook","Murder","Misconduct",2006,2011
"New York","Queens","Murder","Misconduct",2007,2010
"Illinois","Cook","Murder","Misconduct",1991,1997
"New York","Suffolk","Robbery","Misconduct",1984,1985
"Texas","Harris","Sexual Assault","Misconduct",1993,1995
"California","Kern","Child Sex Abuse","Misconduct",1983,1985
"Tennessee","Marshall","Attempted Murder","Misconduct",2008,2009
"Guam",NA,"Robbery","Misconduct",2014,2014
"Connecticut","Fairfield","Assault","Misconduct",2008,2009
"California","San Francisco","Murder","Misconduct",1989,1990
"Wisconsin","Manitowoc","Manslaughter","Misconduct",1990,1991
"Missouri","Cole","Child Sex Abuse","Misconduct",2007,2008
"Illinois","Cook","Murder","Misconduct",1976,1977
"New York","Erie","Murder","Misconduct",2009,2010
"Michigan","Berrien","Theft","Misdemeanor",2009,2011
"Illinois","Cook","Murder","Misconduct",1994,1998
"Louisiana","Jefferson","Murder","Misconduct",1996,1997
"New York","Rensselaer","Murder","Misconduct",2008,2009
"Texas","Harris","Drug Possession or Sale","Misdemeanor",2014,2014
"California","Los Angeles","Murder","Misconduct",2007,2009
"Indiana","St. Joseph","Robbery","Misconduct",1988,1989
"New York","Suffolk","Child Sex Abuse","Misconduct",2006,2007
"Michigan","Wayne","Attempted Murder","Misconduct",1987,1991
"Illinois","Cook","Drug Possession or Sale","Misdemeanor",2003,2003
"Illinois","Cook","Drug Possession or Sale","Misdemeanor",2006,2007
"Texas","Harris ","Drug Possession or Sale","Misdemeanor",2009,2009
"Pennsylvania","Philadelphia","Murder","Misconduct",1990,1994
"West Virginia","Wood","Murder","Misconduct",1986,1987
"Virginia","Martinsville City","Murder","Misconduct",2000,2005
"Maryland","Baltimore City","Attempted Murder","Misconduct",2001,2001
"Illinois","Cook","Drug Possession or Sale","Misdemeanor",2008,2008
"Illinois","Cook","Drug Possession or Sale","Misdemeanor",2007,2008
"Texas","Hopkins","Robbery","Misconduct",1989,1991
"Pennsylvania","Philadelphia","Murder","Misconduct",1990,1994
"New York","Kings","Murder","Misconduct",2004,2006
"Ohio","Athens","Murder","Misconduct",1993,1993
"Texas","Ellis","Sexual Assault","Misconduct",1985,1986
"Illinois","Cook","Drug Possession or Sale","Misdemeanor",2003,2004
"Illinois","Will","Murder","Misconduct",1994,1997
"Illinois","Jefferson","Attempted Murder","Misconduct",1981,1981
"Connecticut","Hartford","Sexual Assault","Misconduct",1994,1998
"Louisiana","Orleans","Murder","Misconduct",1984,1985
"Louisiana","Orleans","Robbery","Misconduct",1984,1985
"Ohio","Cuyahoga","Child Sex Abuse","Misconduct",2000,2001
"Illinois","Cook","Drug Possession or Sale","Misdemeanor",2002,2003
"Illinois","Cook","Drug Possession or Sale","Misdemeanor",2006,2007
"Nevada","Clark","Kidnapping","Misconduct",2007,2007
"Utah","Salt Lake","Sexual Assault","Misconduct",2002,2008
"Illinois","Champaign","Sexual Assault","Misconduct",2004,2006
"Texas","Dallas","Child Sex Abuse","Misconduct",1988,1991
"Virginia","Hampton","Robbery","Misconduct",2000,2001
"Illinois","Cook","Weapon Possession or Sale","Misdemeanor",2002,2003
"Michigan","Calhoun","Child Sex Abuse","Misconduct",2013,2014
"Michigan","Branch","Fraud","Nonviolent felony",1994,1995
"Virginia","Norfolk City","Child Sex Abuse","Misconduct",2013,2014
"Pennsylvania","Philadelphia","Murder","Misconduct",2008,2009
"Texas","Harris","Drug Possession or Sale","Misdemeanor",2014,2014
"Virginia","Alexandria City","Sexual Assault","Misconduct",1984,1985
"Virginia","Norfolk City","Murder","Misconduct",1997,2000
"New York","Orange","Other Violent Felony","Misconduct",2011,2012
"Texas","Montgomery","Drug Possession or Sale","Misdemeanor",2015,2016
"Connecticut","Hartford","Sexual Assault","Misconduct",1988,1989
"Virginia","Henrico","Robbery","Misconduct",2009,2009
"Illinois","Cook","Murder","Misconduct",1986,1986
"Texas","Bexar","Assault","Misconduct",2009,2010
"Illinois","Cook","Murder","Misconduct",1998,2001
"North Carolina","New Hanover","Assault","Misconduct",1971,1972
"Virginia","Virginia Beach","Assault","Misconduct",1993,1993
"Ohio","Richland","Murder","Misconduct",1988,1992
"Utah","Summit","Child Abuse","Misconduct",2003,2004
"Michigan","Kalamazoo","Murder","Misconduct",1990,2002
"Texas","Harris","Drug Possession or Sale","Misdemeanor",2015,2015
"California","Los Angeles","Murder","Misconduct",2012,2013
"Louisiana","Orleans","Murder","Misconduct",1984,1985
